,rw,gb,ms,fa,rs,total
zfALFF_17Networks_RH_SalVentAttnA_FrMed_3,NA,NA,NA,NA,1,1
zfALFF_17Networks_RH_SalVentAttnA_ParMed_4,NA,NA,NA,1,1,1
zfALFF_17Networks_RH_SalVentAttnA_ParMed_3,NA,1,NA,1,1,1
zfALFF_17Networks_RH_SalVentAttnA_FrMed_2,NA,NA,NA,1,0.455427404,1
zfALFF_17Networks_RH_SalVentAttnA_ParMed_2,NA,NA,NA,1,0.47595849,1
zfALFF_17Networks_RH_SalVentAttnA_FrMed_1,NA,NA,NA,1,0.516081938,1
zfALFF_17Networks_RH_SalVentAttnA_FrOper_3,NA,NA,NA,NA,0.953552567,1
zfALFF_17Networks_RH_SalVentAttnA_FrOper_2,NA,NA,NA,NA,1,NA
zfALFF_17Networks_RH_SalVentAttnA_FrOper_1,NA,NA,NA,NA,1,NA
zfALFF_17Networks_RH_SalVentAttnA_Ins_3,NA,NA,1,NA,NA,NA
zfALFF_17Networks_RH_SalVentAttnA_Ins_2,NA,1,NA,NA,NA,NA
zfALFF_17Networks_RH_SalVentAttnA_Ins_1,NA,NA,1,NA,NA,NA
zfALFF_17Networks_RH_SalVentAttnA_PrC_1,1,NA,NA,NA,0.861223785,1
zfALFF_17Networks_RH_SalVentAttnA_ParOper_3,NA,NA,NA,NA,0.175273346,0.687982112
zfALFF_17Networks_RH_SalVentAttnA_ParOper_2,NA,NA,NA,NA,1,NA
zfALFF_17Networks_RH_DorsAttnB_FEF_3,NA,NA,NA,NA,0.96473028,1
zfALFF_17Networks_RH_DorsAttnB_FEF_2,1,NA,NA,NA,0.740049311,1
zfALFF_17Networks_RH_DorsAttnB_FEF_1,NA,NA,NA,NA,0.577370539,1
zfALFF_17Networks_RH_DorsAttnB_PostC_5,NA,NA,NA,1,0.909953822,1
zfALFF_17Networks_RH_DorsAttnB_PostC_4,NA,NA,NA,1,0.168113037,0.442481707
zfALFF_17Networks_RH_DorsAttnB_PostC_3,NA,NA,NA,NA,0.127216108,1
zfALFF_17Networks_RH_DorsAttnB_PostC_2,1,1,NA,0.150339008,0.07295313,0.077428253
zfALFF_17Networks_RH_DorsAttnB_PostC_1,NA,NA,NA,NA,0.211393022,0.672041431
zfALFF_17Networks_RH_DorsAttnB_TempOcc_1,1,NA,NA,NA,NA,NA
zfALFF_17Networks_RH_DorsAttnA_SPL_6,NA,1,NA,1,NA,1
zfALFF_17Networks_RH_DorsAttnA_SPL_5,1,1,NA,NA,NA,1
zfALFF_17Networks_RH_DorsAttnA_SPL_4,NA,1,NA,1,1,1
zfALFF_17Networks_RH_DorsAttnA_SPL_3,NA,1,NA,1,NA,NA
zfALFF_17Networks_RH_DorsAttnA_SPL_1,NA,1,NA,1,1,1
zfALFF_17Networks_RH_DorsAttnA_ParOcc_2,NA,NA,NA,NA,1,NA
zfALFF_17Networks_RH_DorsAttnA_ParOcc_1,NA,NA,NA,1,NA,NA
zfALFF_17Networks_RH_DorsAttnA_TempOcc_3,1,NA,NA,1,NA,1
zfALFF_17Networks_RH_SomMotB_Cent_3,NA,1,NA,NA,0.29715756,0.417665013
zfALFF_17Networks_RH_SomMotB_Cent_2,1,NA,NA,NA,0.104702725,0.301920727
zfALFF_17Networks_RH_SomMotB_Cent_1,NA,NA,NA,NA,1,1
zfALFF_17Networks_RH_SomMotB_S2_8,NA,NA,NA,NA,1,NA
zfALFF_17Networks_RH_SomMotB_S2_7,NA,NA,NA,NA,1,NA
zfALFF_17Networks_RH_SomMotB_S2_6,NA,NA,NA,NA,0.003431934,0.302684209
zfALFF_17Networks_RH_SomMotB_S2_5,NA,NA,NA,NA,0.505936161,1
zfALFF_17Networks_RH_SomMotB_S2_4,NA,NA,NA,NA,1,NA
zfALFF_17Networks_RH_SomMotB_S2_3,NA,NA,NA,NA,1,NA
zfALFF_17Networks_RH_SomMotB_Aud_3,NA,1,NA,NA,1,NA
zfALFF_17Networks_RH_SomMotB_S2_2,NA,NA,NA,NA,1,NA
zfALFF_17Networks_RH_SomMotB_S2_1,NA,NA,NA,NA,0.005248719,1
zfALFF_17Networks_RH_SomMotB_Ins_1,NA,NA,NA,NA,1,NA
zfALFF_17Networks_RH_SomMotA_14,NA,NA,1,NA,1,1
zfALFF_17Networks_RH_SomMotA_12,1,NA,NA,NA,1,1
zfALFF_17Networks_RH_SomMotA_10,NA,NA,NA,NA,1,NA
zfALFF_17Networks_RH_SomMotA_9,NA,NA,NA,1,1,1
zfALFF_17Networks_RH_SomMotA_7,NA,NA,NA,1,1,1
zfALFF_17Networks_RH_SomMotA_6,1,NA,1,0.171904457,1,0.332845309
zfALFF_17Networks_RH_SomMotA_5,NA,NA,NA,NA,1,NA
zfALFF_17Networks_RH_SomMotA_4,NA,NA,NA,0.954919317,0.972098041,1
zfALFF_17Networks_RH_SomMotA_3,1,1,NA,NA,1,0.946579802
zfALFF_17Networks_RH_SomMotA_2,NA,NA,NA,1,0.085434051,0.237313639
zfALFF_17Networks_RH_SomMotA_1,NA,1,1,0.046545327,0.400660212,0.043831298
zfALFF_17Networks_RH_VisPeri_ExStrSup_2,NA,1,NA,NA,NA,NA
zfALFF_17Networks_RH_VisPeri_ExStrInf_3,NA,1,NA,1,NA,NA
zfALFF_17Networks_RH_VisCent_ExStr_11,NA,NA,NA,1,NA,NA
zfALFF_17Networks_RH_VisCent_ExStr_9,NA,NA,NA,1,NA,NA
zfALFF_17Networks_RH_VisCent_ExStr_8,NA,0.535482244,NA,NA,NA,NA
zfALFF_17Networks_LH_TempPar_1,NA,1,NA,1,NA,1
zfALFF_17Networks_LH_DefaultC_PHC_1,NA,NA,NA,NA,1,1
zfALFF_17Networks_LH_DefaultB_PFCv_2,NA,NA,NA,1,NA,NA
zfALFF_17Networks_LH_DefaultB_PFCv_1,NA,1,NA,NA,NA,1
zfALFF_17Networks_LH_DefaultB_PFCd_6,1,NA,NA,NA,NA,NA
zfALFF_17Networks_LH_DefaultB_PFCd_2,NA,1,NA,NA,NA,NA
zfALFF_17Networks_LH_DefaultB_PFCd_1,NA,NA,NA,1,1,1
zfALFF_17Networks_LH_DefaultB_IPL_1,NA,NA,NA,NA,1,NA
zfALFF_17Networks_LH_DefaultB_Temp_5,1,NA,NA,NA,NA,NA
zfALFF_17Networks_LH_DefaultB_Temp_1,NA,NA,NA,1,1,1
zfALFF_17Networks_LH_DefaultA_PFCm_6,NA,NA,NA,NA,1,1
zfALFF_17Networks_LH_DefaultA_PFCm_5,NA,1,NA,NA,NA,1
zfALFF_17Networks_LH_DefaultA_PFCm_3,NA,NA,1,NA,1,1
zfALFF_17Networks_LH_DefaultA_pCunPCC_7,NA,0.437178588,NA,0.928241549,NA,1
zfALFF_17Networks_LH_DefaultA_pCunPCC_6,1,NA,NA,NA,NA,NA
zfALFF_17Networks_LH_DefaultA_PFCd_2,1,NA,NA,NA,NA,NA
zfALFF_17Networks_LH_DefaultA_PFCd_1,NA,NA,NA,NA,1,1
zfALFF_17Networks_LH_ContC_pCun_3,NA,1,NA,0.570757797,NA,1
zfALFF_17Networks_LH_ContC_pCun_2,NA,1,NA,NA,NA,NA
zfALFF_17Networks_LH_ContB_PFCmp_1,NA,NA,NA,1,1,1
zfALFF_17Networks_LH_ContB_PFClv_3,NA,1,1,1,1,0.415224963
zfALFF_17Networks_LH_ContB_PFClv_2,NA,NA,0.777578947,1,1,0.448679331
zfALFF_17Networks_LH_ContA_PFCl_3,NA,1,1,1,1,1
zfALFF_17Networks_LH_ContA_PFCl_2,NA,NA,1,NA,NA,NA
zfALFF_17Networks_LH_ContA_PFClv_2,NA,NA,NA,NA,NA,1
zfALFF_17Networks_LH_ContA_PFCd_1,1,NA,NA,NA,NA,NA
zfALFF_17Networks_LH_ContA_IPS_3,NA,1,NA,1,NA,1
zfALFF_17Networks_LH_ContA_IPS_1,NA,NA,NA,1,1,1
zfALFF_17Networks_LH_LimbicA_TempPole_7,NA,1,1,1,NA,1
zfALFF_17Networks_LH_LimbicA_TempPole_6,0.759061772,0.550792488,0.125785585,0.027531497,0.159774279,0.00311933
zfALFF_17Networks_LH_LimbicA_TempPole_5,NA,1,NA,NA,1,1
zfALFF_17Networks_LH_LimbicA_TempPole_3,NA,NA,NA,NA,1,NA
zfALFF_17Networks_LH_LimbicA_TempPole_2,NA,1,NA,1,1,1
zfALFF_17Networks_LH_LimbicA_TempPole_1,NA,1,NA,NA,1,1
zfALFF_17Networks_LH_LimbicB_OFC_4,NA,0.761320871,NA,NA,NA,1
zfALFF_17Networks_LH_SalVentAttnB_PFCmp_1,NA,NA,NA,1,1,1
zfALFF_17Networks_LH_SalVentAttnB_PFCl_3,NA,NA,1,NA,NA,NA
zfALFF_17Networks_LH_SalVentAttnB_PFCl_2,NA,1,NA,1,NA,1
zfALFF_17Networks_LH_SalVentAttnB_PFCl_1,NA,NA,1,NA,1,1
zfALFF_17Networks_LH_SalVentAttnA_FrMed_2,NA,NA,NA,1,0.508220446,0.86744374
zfALFF_17Networks_LH_SalVentAttnA_Ins_1,NA,NA,1,0.251985142,0.011990214,0.009454916
zfALFF_17Networks_LH_DorsAttnB_PostC_8,NA,1,NA,NA,NA,NA
zfALFF_17Networks_LH_DorsAttnB_PostC_7,NA,NA,NA,1,NA,NA
zfALFF_17Networks_LH_DorsAttnB_PostC_6,NA,NA,NA,1,NA,NA
zfALFF_17Networks_LH_DorsAttnB_PostC_5,1,0.755301583,0.315349159,1,1,0.261439711
zfALFF_17Networks_LH_DorsAttnB_PostC_4,NA,NA,NA,1,NA,NA
zfALFF_17Networks_LH_DorsAttnB_PostC_2,NA,1,NA,1,1,1
zfALFF_17Networks_LH_DorsAttnB_PostC_1,NA,1,NA,NA,NA,NA
zfALFF_17Networks_LH_DorsAttnA_SPL_7,NA,1,NA,1,NA,NA
zfALFF_17Networks_LH_DorsAttnA_SPL_6,1,NA,NA,1,NA,NA
zfALFF_17Networks_LH_DorsAttnA_SPL_5,NA,1,NA,1,NA,NA
zfALFF_17Networks_LH_DorsAttnA_SPL_3,1,0.059634289,NA,0.76405005,1,0.384224474
zfALFF_17Networks_LH_DorsAttnA_SPL_2,NA,NA,NA,1,NA,NA
zfALFF_17Networks_LH_DorsAttnA_SPL_1,NA,NA,NA,1,NA,NA
zfALFF_17Networks_LH_DorsAttnA_ParOcc_2,NA,NA,NA,1,NA,1
zfALFF_17Networks_LH_SomMotB_Cent_3,NA,0.400810032,0.710390575,NA,1,0.532297874
zfALFF_17Networks_LH_SomMotB_Cent_2,NA,1,1,NA,NA,NA
zfALFF_17Networks_LH_SomMotB_Cent_1,NA,NA,1,NA,NA,NA
zfALFF_17Networks_LH_SomMotB_S2_5,NA,NA,1,NA,NA,NA
zfALFF_17Networks_LH_SomMotB_S2_3,NA,NA,NA,1,NA,NA
zfALFF_17Networks_LH_SomMotB_Aud_4,NA,NA,NA,1,1,1
zfALFF_17Networks_LH_SomMotB_Aud_3,NA,NA,NA,NA,1,1
zfALFF_17Networks_LH_SomMotB_S2_2,NA,1,1,1,1,0.930180409
zfALFF_17Networks_LH_SomMotB_Ins_1,NA,NA,NA,NA,1,1
zfALFF_17Networks_LH_SomMotB_Aud_2,NA,NA,NA,1,NA,NA
zfALFF_17Networks_LH_SomMotB_Aud_1,NA,NA,NA,0.094674292,0.145207141,0.266489488
zfALFF_17Networks_LH_SomMotA_14,NA,NA,1,NA,NA,NA
zfALFF_17Networks_LH_SomMotA_1,1,1,NA,NA,NA,1
zfALFF_17Networks_LH_VisCent_Striate_1,NA,NA,1,NA,NA,1
zALFF_17Networks_RH_TempPar_7,NA,NA,NA,NA,1,NA
zALFF_17Networks_RH_TempPar_6,NA,NA,NA,NA,1,NA
zALFF_17Networks_RH_TempPar_5,NA,NA,NA,NA,0.763884975,1
zALFF_17Networks_RH_TempPar_4,NA,NA,NA,NA,0.054449847,0.656424646
zALFF_17Networks_RH_TempPar_3,NA,NA,NA,NA,1,NA
zALFF_17Networks_RH_TempPar_2,NA,NA,NA,NA,1,NA
zALFF_17Networks_RH_DefaultC_PHC_2,NA,NA,NA,1,NA,NA
zALFF_17Networks_RH_DefaultC_IPL_1,NA,NA,NA,1,0.541892738,1
zALFF_17Networks_RH_DefaultB_PFCv_3,NA,NA,NA,NA,1,NA
zALFF_17Networks_RH_DefaultB_PFCd_4,NA,NA,NA,NA,1,NA
zALFF_17Networks_RH_DefaultB_PFCd_2,NA,NA,NA,1,1,1
zALFF_17Networks_RH_DefaultB_PFCd_1,NA,NA,NA,1,NA,NA
zALFF_17Networks_RH_DefaultB_Temp_2,NA,NA,NA,NA,1,1
zALFF_17Networks_RH_DefaultB_Temp_1,NA,NA,NA,NA,1,NA
zALFF_17Networks_RH_DefaultA_PFCm_6,NA,1,NA,1,NA,1
zALFF_17Networks_RH_DefaultA_pCunPCC_2,NA,NA,NA,NA,1,NA
zALFF_17Networks_RH_DefaultA_PFCd_1,NA,NA,NA,0.244394457,NA,1
